PLAYER;CODETEAM;Season;T2A_j;T2A_e;T3A_j;T3A_e;TLA_j;TLA_e;DREB_j;DREB_t;OREB_j;OREB_t;TO_j;TO_e
MICHAEL ROLL;TEL       ;19;136;603;86;384;21;250;43;519;20;524;33;197
KONSTANTINOS MITOGLOU;PAN       ;19;71;407;25;179;20;128;41;286;39;311;17;101
IOANNIS PAPAPETROU;PAN       ;19;114;808;75;358;55;290;90;659;28;645;24;196
YOVEL ZOOSMAN;TEL       ;19;42;407;32;282;13;210;45;411;15;367;23;131
STEPHANE LASME;PAN       ;19;64;304;2;134;28;132;33;218;18;252;15;88
ALEX TYUS;TEL       ;19;146;530;0;360;40;192;85;483;39;485;22;149
MATT LOJESKI;PAN       ;19;73;415;45;201;25;182;42;318;13;346;15;118
ANGELO CALOIARO;TEL       ;19;90;739;73;501;53;263;85;616;60;723;24;210
DESHAUN THOMAS;PAN       ;19;174;788;93;371;61;324;81;624;39;637;33;205
THANASIS ANTETOKOUNMPO;PAN       ;19;64;391;22;159;29;144;32;287;19;303;14;102
NIKOS PAPPAS;PAN       ;19;52;346;59;184;46;174;16;250;3;279;15;91
LUKAS LEKAVICIUS;PAN       ;19;69;380;42;187;28;166;20;291;7;308;26;90
JOHN DIBARTOLOMEO;TEL       ;19;29;282;93;220;21;119;24;262;16;280;7;81
MICHAEL ERIC;DAR       ;19;239;601;0;313;96;218;81;506;65;533;65;227
WALTER TAVARES;MAD       ;19;127;570;0;429;68;287;128;629;71;527;41;184
FABIEN CAUSEUR;MAD       ;19;102;415;46;318;29;169;42;414;14;408;38;147
SERGIO LLULL;MAD       ;19;82;446;154;421;44;238;46;515;3;475;31;158
STANTON KIDD;DAR       ;19;102;651;95;353;35;290;73;553;18;571;29;219
ANTHONY RANDOLPH;MAD       ;19;142;633;142;506;85;308;114;656;23;585;25;205
BERK DEMIR;DAR       ;19;35;252;28;144;11;105;37;229;21;223;14;96
RAY MCCALLUM;DAR       ;19;120;397;35;173;28;163;45;318;14;334;36;110
JEFFERY TAYLOR;MAD       ;19;63;504;66;411;27;278;34;588;18;472;21;175
MARKEL BROWN;DAR       ;19;44;375;54;181;23;149;22;322;11;332;16;126
JEREMY EVANS;DAR       ;19;129;707;58;376;42;271;106;563;53;631;24;243
OGUZ SAVAS;DAR       ;19;121;388;0;183;36;146;42;317;29;335;22;114
ZANIS PEINERS;DAR       ;19;82;508;30;249;66;223;37;437;15;424;36;165
OGNJEN KUZMIC;MAD       ;19;11;33;0;24;5;22;5;28;8;45;4;17
KARTAL OZMIZRAK;DAR       ;19;51;336;59;226;31;161;30;294;5;331;19;112
FELIPE REYES;MAD       ;19;51;178;1;123;29;84;27;164;19;146;17;68
JAYCEE CARROLL;MAD       ;19;112;461;102;314;47;217;19;438;13;398;13;125
FACUNDO CAMPAZZO;MAD       ;19;105;691;112;479;75;370;75;700;10;607;69;222
JON DIEBLER;DAR       ;19;30;505;80;282;13;239;30;434;7;456;18;177
RUDY FERNANDEZ;MAD       ;19;50;517;151;424;48;293;62;575;20;490;23;169
EMIRCAN KOSUT;DAR       ;19;37;139;3;51;10;57;10;108;8;100;11;45
GABRIEL DECK;MAD       ;19;64;389;17;271;43;217;44;368;24;361;22;123
KLEMEN PREPELIC;MAD       ;19;29;152;38;128;23;110;16;177;3;156;13;53
DOGUS OZDEMIROGLU;DAR       ;19;37;339;43;149;25;157;25;273;9;268;24;121
NIKOLA MILUTINOV;OLY       ;19;189;724;1;365;101;311;125;650;95;585;36;249
JORDAN MICKEY;KHI       ;19;236;549;57;413;92;277;92;522;47;546;42;174
ALEXEY SHVED;KHI       ;19;86;334;156;367;98;201;32;353;7;391;52;122
GEORGIOS PRINTEZIS;OLY       ;19;238;765;39;393;66;324;110;665;45;634;32;243
NIGEL WILLIAMS-GOSS;OLY       ;19;171;808;81;388;52;356;51;699;10;671;43;253
VASSILIS SPANOULIS;OLY       ;19;99;511;121;325;66;250;40;478;6;451;72;177
ANTHONY GILL;KHI       ;19;72;257;36;258;30;138;26;260;19;274;16;100
DEE BOST;KHI       ;19;59;412;104;411;19;184;41;400;12;452;31;163
