player;height;position;year_born;nationality
VYACHESLAV SHUSHAKOV;1.80;Guard;1973;Russian Federation
ALEXEY SHVED;1.98;Guard;1988;Russian Federation
GIORGOS SIGALAS;2.01;Forward;1971;Greece
LUKE SIKMA;2.03;Forward;1989;United States of America
SLAWOMIR SIKORA;1.93;Guard;1986;Poland
ARVYDAS SIKSNIUS;1.96;Guard;1987;Lithuania
DARIUS SILINSKIS;2.16;Center;1984;Lithuania
MLADJAN SILOBAD;2.08;Center;1971;Bosnia and Herzegovina
JAIME SILVA;1.85;Guard;1980;Portugal
BORISA SIMANIC;2.09;Forward;1998;Serbia
TAMIR SIMCHONY;1.92;Guard;1990;Israel
JOSE SIMEON;1.84;Guard;1991;Spain
ALEKSANDAR SIMIC;1.96;Forward;1753;Germany
TEODOR SIMIC;2.14;Center;2004;North Macedonia
CEDRIC SIMMONS;2.06;Center;1986;United States of America
TRE SIMMONS;1.95;Forward;1982;United States of America
KRUNOSLAV SIMON;1.97;Guard;1985;Croatia
NICOLAI SIMON;1.90;Guard;1987;Germany
MARKO SIMONOVIC;2.03;Forward;1986;Serbia
DICKEY SIMPKINS;2.06;Center;1972;United States of America
DIAMON SIMPSON;2.03;Forward;1987;United States of America
ALVIN SIMS;1.93;Guard;1974;United States of America
COURTNEY SIMS;2.11;Center;1983;United States of America
LEWIS SIMS;2.03;Forward;1973;United States of America
NEDZAD SINANOVIC;2.22;Center;1983;Bosnia and Herzegovina
JORGE SING;1.92;Guard;1978;Portugal
KYLE SINGLER;2.03;Forward;1988;United States of America
SEAN SINGLETARY;1.83;Guard;1985;United States of America
CHRIS SINGLETON;2.06;Forward;1989;United States of America
JAMES SINGLETON;2.03;Forward;1981;United States of America
JUSTAS SINICA;2.03;Forward;1985;Lithuania
STEFAN SINOVEC;1.95;Guard;1988;Serbia
IOANNIS SIOUTIS;;Guard;1973;Greece
KENAN SIPAHI;1.97;Guard;1995;Turkey
OSMAN SIRIN;2.07;Forward;1990;Turkey
MATIC SIRNIK;2.01;Forward;1991;Slovenia
VIRGINIUS SIRVYDIS;1.96;Forward;1973;Lithuania
RAMUNAS SISKAUSKAS;1.98;Forward;1978;Lithuania
ZAN SISKO;1.89;Guard;1997;Slovenia
PEYTON SIVA;1.82;Guard;1990;United States of America
LUKA SJEKLOCA;;;1984;Serbia
IVICA SKALABRIN;1.83;Guard;1980;Croatia
MATE SKELIN;2.11;Center;1974;Croatia
ROBERT SKIBNIEWSKI;1.82;Guard;1983;Poland
EVANGELOS SKLAVOS;2.02;Forward;1977;Greece
GAIOS SKORDILIS;2.07;Center;1987;Greece
EZEQUIEL SKVERER;1.80;Guard;1989;Israel
DONATAS SLANINA;1.91;Guard;1977;Lithuania
AJ SLAUGHTER;1.91;Guard;1987;United States of America
MARCUS SLAUGHTER;2.04;Forward;1985;United States of America
TAMAR SLAY;2.03;Forward;1980;United States of America
ANDRIUS SLEZAS;;Forward;1975;Lithuania
MLADJEN SLJIVANCANIN;2.00;Forward;1985;Serbia
UROS SLOKAR;2.10;Center;1983;Slovenia
KOSTAS SLOUKAS;1.90;Guard;1990;Greece
SVEN SMAJLAGIC;1.88;Guard;1990;Croatia
DANILO SMIGIC;1.94;Guard;1984;Slovenia
ALEKSANDAR SMILJANIC;1.95;Guard;1976;Serbia
ANTWAIN SMITH;;;1975;United States of America
BRYANT SMITH;1.96;Guard;1977;United States of America
CHARLES SMITH;1.93;Forward;1975;United States of America
DEVIN SMITH;1.98;Forward;1983;United States of America
JA JUAN SMITH;1.92;Guard;1985;United States of America
JAMAR SMITH;1.91;Guard;1987;United States of America
JERRY SMITH;1.88;Guard;1987;United States of America
MICHAEL SMITH;2.01;;1976;United States of America
NOLAN  SMITH;1.88;Guard;1988;United States of America
RUSS SMITH;1.83;Guard;1991;United States of America
STEVEN SMITH;2.03;Forward;1983;United States of America
STEVIN SMITH;1.86;Guard;1972;United States of America
ROLANDS SMITS;2.07;Forward;1995;Latvia
MATJAZ SMODIS;2.05;Forward;1979;Slovenia
IGOR SMYGIN;1.98;Guard;1987;Russian Federation
CHRISTOPHER SNEED;2.01;;1974;England
TOMASZ SNIEG;1.90;Guard;1989;Poland
DMITRY SOKOLOV;2.14;Center;1985;Russian Federation
FATIH SOLAK;2.13;Center;1980;Turkey
DANIEL SOLDATOV;2.15;;1983;Russian Federation
WILLIAMS SOLIMAN;2.03;Forward;1980;France
MERTCAN SOLKOL;2.02;Forward;1996;Turkey
WILLIE SOLOMON;1.87;Guard;1978;United States of America
THOMAS SOLTAU;2.09;Center;1982;Denmark
MO SOLUADE;1.96;Guard;1995;United Kingdom
JULIAN SOMVI;2.05;Forward;1987;Italy
DARIUS SONGAILA;2.06;Forward;1978;Lithuania
MOUSTAPHA SONKO;1.92;Guard;1972;France
DOGUKAN SONMEZ;2.06;Forward;1992;Turkey
MATTEO SORAGNA;;Forward;1975;Italy
GENNARO SORRENTINO;1.90;;1985;Italy
EDGAR SOSA;1.90;Guard;1988;United States of America
LUCA SOTTANA;1.86;Guard;1982;Italy
KARIM SOUCHU;2.00;Forward;1979;France
VASSILIOS SOULIS;2.04;Forward;1976;Greece
GEORGIOS SOURLIS;1.88;;1985;Greece
JAMES SOUTHERLAND;2.02;Forward;1990;United States of America
PAPE SOW;2.03;Forward;2003;Senegal
PAPE SOW;2.08;Center;1981;Senegal
MATTEO SPAGNOLO;1.93;Guard;2003;Italy
JAN SPAN;1.90;Guard;1992;Slovenia
VASSILIS SPANOULIS;1.93;Guard;1982;Greece
DEWARICK SPENCER;1.93;Guard;1982;United States of America
VALERIO SPINELLI;1.85;Guard;1979;Italy
TIAGO SPLITTER;2.12;Center;1985;Spain
MILOS SPORAR;1.88;;1976;Slovenia
SIME SPRALJA;2.06;Forward;1983;Croatia
MARCIN SROKA;2.00;Forward;1981;Poland
RYAN STACK;2.12;Forward;1975;North Macedonia
RICHARD STAFFORD;1.94;Guard;1972;Germany
LUCCA STAIGER;1.96;Guard;1988;Germany
IOANNIS STAMOPOULOS;1.99;Forward;1984;Greece
VIRGIL STANESCU;2.06;Forward;1977;Romania
JOVO STANOJEVIC;2.07;Center;1977;Serbia
ONDREJ STAROSTA;2.18;Center;1979;Czech Republic
MILIC STAROVLAH;1.97;Forward;1998;Montenegro
JACQUES STAS;1.92;Guard;1969;Belgium
NIK STAUSKAS;1.97;Guard;1993;Canada
STJEPAN STAZIC;1.99;Guard;1978;Australia
RISTE STEFANOV;1.99;Forward;1983;North Macedonia
VRBICA STEFANOV;1.87;;1973;North Macedonia
NENAD STEFANOVIC;1.93;Guard;1985;Serbia
JON STEFANSSON;1.95;Guard;1982;Iceland
DAVID STEFFEL;;;1753;
PIOTR STELMACH;2.05;Forward;1984;Poland
ROBERTS STELMAHERS;1.90;Guard;1974;Latvia
BLAKE ROY STEPP;1.93;Guard;1982;United States of America
VLANTIMIR STERGIOU;1.98;Forward;1977;Greece
DUSAN STEVIC;2.08;Center;1972;Serbia
OLIVER STEVIC;2.05;Center;1984;Serbia
KEBU STEWART;2.04;Forward;1973;United States of America
ANDREJ STIMAC;2.04;Forward;1979;Croatia
VLADIMIR STIMAC;2.10;Center;1987;Serbia
ROK STIPCEVIC;1.86;Guard;1986;Croatia
VOJDAN STOJANOVSKI;1.94;Guard;1987;North Macedonia
MARIO STOJIC;1.99;Forward;1980;Germany
STEVAN STOJKOV;1.82;Guard;1989;Italy
PAUL STOLL;1.80;Guard;1985;United States of America
SAULIUS STOMBERGAS;2.03;Forward;1973;Lithuania
SHAUN STONEROOK;2.01;Forward;1977;United States of America
AMAR'E STOUDEMIRE;2.08;Center;1982;United States of America
JOHANNES STRASSER;1.90;Guard;1982;Germany
DANIEL STRAUCH;2.06;Forward;1981;Germany
DJ STRAWBERRY;1.96;Forward;1985;United States of America
MATTHEW STRAZEL;1.82;Guard;2002;France
IVAN STREBKOV;1.92;Guard;1991;Russian Federation
JANIS STRELNIEKS;1.91;Guard;1989;Latvia
DAMON ANTHONY STRINGER;1.83;Guard;1977;United States of America
ERIC STRUELENS;2.08;Center;1969;Belgium
MAURICE STUCKEY;1.87;Guard;1990;Germany
ALEX SUAREZ;2.06;Forward;1993;Spain
CARLOS SUAREZ;2.03;Forward;1986;Spain
ENRIQUE SUAREZ;;;1753;
SRDAN SUBOTIC;1.91;Guard;1980;Croatia
VUJADIN SUBOTIC;1.98;Forward;1981;Serbia
MATTIA SUERO;;;1753;
EMIR SULEJMANOVIC;2.06;Forward;1995;Finland
ANDREW SULLIVAN;2.02;Forward;1980;United Kingdom
DAJUAN SUMMERS;2.03;Forward;1988;United States of America
BRUNO SUNDOV;2.21;Center;1980;Croatia
PREDRAG SUPUT;2.00;Forward;1977;Serbia
GORAN SUTON;2.09;Center;1985;Croatia
MILORAD SUTULOVIC;1.98;Guard;1990;Montenegro
MIKHAIL SVORONOS;;;1753;
TOMASZ SWIETONSKI;1.86;Guard;1984;Poland
AMARA SY;2.03;Forward;1981;France
MAMADOU SY;1.83;;1985;France
KEIFER SYKES;1.83;Guard;1993;United States of America
ABDEL KADER SYLLA;2.05;Forward;1990;Seychelles
GABRIEL SZALAY;;;1986;Slovakia
PIOTR SZCZOTKA;;Forward;1981;Poland
SZYMON SZEWCZYK;2.09;Center;1982;Poland
MACIEJ SZLACHTOWICZ;1.93;;1985;Poland
PIOTR SZYBILSKI;2.08;Center;1973;Poland
ZAN TABAK;2.13;Center;1970;Croatia
JONATHAN TABU;1.90;Guard;1985;Belgium
KARSTEN TADDA;1.91;Guard;1988;Germany
MARCO TAGLIABUE;2.04;;1986;Italy
JANAR TALTS;2.04;Forward;1983;Estonia
AMIT TAMIR;2.10;Center;1979;Israel
MEIR TAPIRO;1.92;Guard;1975;Israel
CHRISTOS TAPOUTOS;2.01;Forward;1982;Greece
STEVAN TAPUSKOVIC;2.00;Forward;1989;Serbia
KALEB TARCZEWSKI;2.13;Center;1993;United States of America
DRAGAN TARLAC;2.10;Center;1973;Serbia
DONATAS TAROLIS;2.02;Forward;1994;Lithuania
ARIS TATAROUNIS;1.92;Guard;1989;Greece
PATRICK TAUBERT;1.99;;1987;Germany
WALTER TAVARES;2.20;Center;1992;Cabo Verde
BRYCE TAYLOR;1.95;Guard;1986;United States of America
DERRICK  TAYLOR;1.81;Guard;1963;Germany
ERIC TAYLOR;1.83;Guard;1969;United Kingdom
JEFFERY TAYLOR;2.01;Forward;1989;Sweden
JORDAN TAYLOR;1.85;Guard;1989;United States of America
MARCUS TAYLOR;1.95;Guard;1981;United States of America
MAURICE TAYLOR;2.06;Forward;1976;United States of America
RONELL TAYLOR;1.94;Forward;1982;United States of America
TONY TAYLOR;1.85;Guard;1990;United States of America
STEED TCHICAMBOUD;1.93;Forward;1981;France
TANEL TEIN;1.94;Forward;1978;Estonia
MARKO TEJIC;2.08;Forward;1995;Serbia
RAMAZAN TEKIN;2.12;;1993;Turkey
MIRZA TELETOVIC;2.06;Forward;1985;Bosnia and Herzegovina
PAU TENDERO;1.93;Forward;2002;Spain
MILOS TEODOSIC;1.95;Guard;1987;Serbia
MILENKO TEPIC;2.02;Guard;1987;Serbia
GERRIT TERDENGE;2.05;Forward;1975;Germany
EMANUEL TERRY;2.06;Center;1996;United States of America
REYSHAWN TERRY;2.03;Forward;1984;United States of America
 AMEDEO TESSITORI;2.08;Forward;1994;Italy
CHRISTOPH TETZNER;2.01;;1981;Germany
KEVIN THALIEN;1.90;Guard;1992;France
DANIEL THEIS;2.04;Center;1992;Germany
JORDAN THEODORE;1.83;Guard;1989;North Macedonia
SERAFIM THEOS;;;1753;
JOHANNES THIEMANN;2.05;Center;1994;Germany
BERNARD THIRY;1.95;Guard;1972;Belgium
DEON THOMAS;2.04;Forward;1971;Israel
DESHAUN THOMAS;2.01;Forward;1991;United States of America
JAMEL THOMAS;1.98;Forward;1976;United States of America
JAMES THOMAS;2.03;Center;1980;United States of America
JOBEY THOMAS;1.94;Guard;1980;United States of America
MALCOLM THOMAS;2.06;Center;1988;United States of America
TOREY THOMAS;1.80;Guard;1985;United States of America
WILL THOMAS;2.03;Forward;1986;United States of America
TREY THOMPKINS;2.08;Forward;1990;United States of America
DEON THOMPSON;2.04;Forward;1988;United States of America
HOLLIS THOMPSON;2.03;Forward;1991;United States of America
JASON THOMPSON;2.11;Center;1986;United States of America
RYAN THOMPSON;1.98;Guard;1988;United States of America
BOOTSY THORNTON;1.95;Guard;1977;United States of America
TOMMY THORWARTH;;;1979;Germany
KIM TILLIE;2.10;Center;1988;France
MINDAUGAS TIMINSKAS;2.00;Forward;1974;Lithuania
JANIS TIMMA;2.01;Forward;1992;Latvia
ERGI TIRPANCI;2.00;Guard;2000;Turkey
OLEKSANDR TISHCHENKO;2.07;Forward;1989;Ukraine
NIMROD TISHMAN;1.97;Guard;1991;Israel
BORIS TISMA;2.05;Forward;2002;Croatia
STEPHEN TISON;1.75;Guard;1984;Belgium
MIKE TOBEY;2.13;Center;1994;United States of America
MIROSLAV TODIC;2.03;Forward;1985;Bosnia and Herzegovina
DEJAN TODOROVIC;1.96;Forward;1994;Serbia
IVAN TODOROVIC;2.14;Center;1984;Serbia
MARKO TODOROVIC;2.10;Center;1992;Montenegro
VASSILIS TOLIOPOULOS;1.88;Guard;1996;Greece
IVAN TOMAS;1.90;;1981;Croatia
JOAN TOMAS;1.98;Forward;1992;Spain
MARKO TOMAS;2.01;Guard;1985;Croatia
PERE TOMAS;2.02;Forward;1989;Spain
DEJAN TOMASEVIC;2.08;Center;1973;Serbia
GIOVANNI TOMASSINI;;;1988;Italy
DOMINIK TOMCZYK;2.04;Forward;1974;Poland
ANTE TOMIC;2.17;Center;1987;Croatia
DAVOR TOMIC;1.88;Guard;1983;Croatia
MILAN TOMIC;1.90;Guard;1973;Serbia
ALAN TOMIDY;2.06;Center;1976;Ireland
ALESSANDRO TONOLLI;2.02;Forward;1974;Italy
RYAN TOOLSON;1.93;Guard;1985;United States of America
CANER TOPALOGLU;2.00;Forward;1985;Turkey
MILENKO TOPIC;;Forward;1969;Serbia
SERGEY TOPOROV;1.96;Forward;1981;Russian Federation
DENIS TOROMAN;1.94;;1982;Croatia
OSCAR TORRES;1.95;Forward;1976;Venezuela
AXEL TOUPANE;2.01;Forward;1992;France
HERVE TOURE;2.04;Forward;1982;France
MOHAMED TOURE;1.90;Guard;1992;Italy
OUMAROU TOURE;1.80;Guard;1979;France
BRADLEY TRAINA;1.98;Forward;1977;Italy
ALI TRAORE;2.08;Center;1985;France
ROMEO TRAVIS;2.01;Forward;1984;United States of America
IGOR TRELA;2.05;;1989;Poland
JEFF TREPAGNIER;1.95;Guard;1979;United States of America
ALEN TREPALOVAC;2.15;Center;1985;Croatia
JORDI TRIAS;2.06;Forward;1980;Spain
THEODOROS TRIFTANIDIS;2.05;;1986;Greece
JUAN JOSE TRIGUERO;2.12;;1983;Spain
MILOS TRIKIC;2.07;Forward;1990;Bosnia and Herzegovina
UROS TRIPKOVIC;1.97;Forward;1986;Serbia
ROBERT TROHA;1.94;Guard;1977;Croatia
CHEVON TROUTMAN;2.02;Forward;1981;United States of America
ANDREI TRUSHKIN;2.07;Center;1981;Russian Federation
VLADISLAV TRUSHKIN;2.01;Forward;1993;Russian Federation
MICHALIS TSAIRELIS;2.06;Forward;1988;Greece
JAKE TSAKALIDIS;2.18;Center;1979;Greece
DIMITRIOS TSALDARIS;;Forward;1980;Greece
KOSTAS TSARTSARIS;2.09;Forward;1979;Greece
GEORGIOS TSIARAS;2.07;Forward;1982;Greece
GEORGE TSINTSADZE;1.93;Guard;1986;Georgia
NICKOLOZ TSKITSHVILI;2.13;Center;1983;Georgia
ENZO TSONGA;1.94;Forward;1990;France
ANTHONY TUCKER;1.98;Forward;1985;United States of America
CLAY TUCKER;1.95;Guard;1980;United States of America
DARRELL TUCKER;2.00;;1980;United States of America
UTKU TUGSAL;1.98;Forward;2000;Turkey
AZAT TUKMAKOV;1.88;Guard;1996;Russian Federation
DENIZ TUNCA;;;1988;Turkey
BUGRAHAN TUNCER;1.93;Guard;1993;Turkey
KEREM TUNCERI;1.90;Guard;1979;Turkey
METIN TUREN;2.07;Forward;1994;Turkey
PUPPY TURGEMAN;1.94;Guard;1970;Israel
MIRSAD TURKCAN;2.06;Forward;1976;Turkey
IZZET TURKYILMAZ;2.12;Forward;1990;Turkey
MARKO TUSEK;2.04;Forward;1975;Slovenia
ALEX TYUS;2.03;Center;1988;United States of America
EKPE UDOH;2.08;Center;1987;United States of America
MATTIA UDOM;2.00;Forward;1993;Italy
BENO UDRIH;1.91;Guard;1982;Slovenia
SAMO UDRIH;1.95;Guard;1979;Slovenia
JON UGARABE;;;1983;Spain
ALEKSANDAR UGRINOSKI;1.95;Guard;1988;Croatia
BERK UGURLU;1.92;Guard;1996;Turkey
IVAN UKHOV;1.93;Guard;1995;Russian Federation
ROKO UKIC;1.96;Guard;1984;Croatia
EDGARAS ULANOVAS;1.99;Forward;1992;Lithuania
LUKAS ULECKAS;1.99;Guard;1999;Lithuania
OKBEN ULUBAY;2.01;Forward;1996;Turkey
JURIS UMBRASKO;1.98;;1979;Latvia
YURY UMRIKHIN;1.88;Guard;1999;Russian Federation
GOKTURK  URAL;1.98;Guard;1995;Turkey
JON IRKUS URIARTE;2.01;Forward;1985;Spain
TXEMI URTASUN;1.93;Guard;1984;Spain
ALEKSA USKOKOVIC;1.94;Guard;1999;Serbia
CHISTIAN UTA;2.11;Center;1997;Romania
RYTIS VAISVILA;1.93;Guard;1971;Lithuania
JONAS VALANCIUNAS;2.10;Center;1992;Lithuania
ALESSIO VALERIANI;;;1991;Italy
MALO VALERIEN;1.95;Guard;1994;Germany
EVGENY VALIEV;2.05;Forward;1990;Russian Federation
PAULIUS VALINSKAS;1.91;Guard;1995;Lithuania
NORBERT VALIS;2.01;Forward;1971;Switzerland
KRISTAPS VALTERS;1.88;Guard;1981;Latvia
REMON VAN DE HARE;2.22;Center;1982;Netherlands
THOMAS VAN DE VONDEL;1.96;Forward;1980;Belgium
TOMAS VAN DEN SPIEGEL;2.14;Center;1978;Belgium
PETER VAN ELSWYK;2.07;Center;1974;United Kingdom
DEVON VAN OOSTRUM;1.93;Guard;1993;United Kingdom
PETER VAN PAASSEN;2.08;Center;1978;Netherlands
SAM VAN ROSSOM;1.88;Guard;1986;Belgium
MAX VAN SCHAIK;2.00;;1991;Netherlands
SHAUN VANDIVER;2.08;Center;1968;United States of America
DAVID VANTERPOOL;1.94;Forward;1973;United States of America
MANUEL VANUZZO;2.03;Forward;1975;Italy
RATKO VARDA;2.13;Center;1979;Serbia
ANDERSON VAREJAO;2.09;Forward;1982;Brazil
JEFF VAREM;1.98;Forward;1983;Nigeria
MLADEN VARGA;2.11;;1983;Bosnia and Herzegovina
AKEEM VARGAS;1.93;Guard;1990;Germany
JARVIS VARNADO;2.06;Center;1988;United States of America
MARTYNAS VARNAS;1.96;Guard;1997;Lithuania
KOSTAS VASILEIADIS;2.00;Forward;1984;Greece
SARUNAS VASILIAUSKAS;1.88;Guard;1989;Lithuania
PERO VASILJEVIC;2.05;Forward;1978;Serbia
PANAGIOTIS VASILOPOULOS;2.02;Forward;1984;Greece
YURI VASILYEV;2.07;Center;1981;Russian Federation
STEVE VASTURIA;1.96;Guard;1995;United States of America
VALDAS VASYLIUS;2.03;Forward;1983;Lithuania
LUDOVIC VATY;2.05;Center;1988;France
FABRICIO VAY;2.04;;1986;Italy
FRAN VAZQUEZ;2.09;Center;1983;Spain
PACO VAZQUEZ;;Guard;1974;Spain
LUC-ARTHUR VEBOBE;2.03;Forward;1980;France
KASPARS VECVAGARS;1.93;Guard;1993;Latvia
ARDA VEKILOGLU;2.06;Forward;1979;Turkey
NOVICA VELICKOVIC;2.05;Forward;1986;Serbia
KEMAL VELISHAEV;2.03;Guard;1993;Russian Federation
ROBERTO VENDRAMIN;;;1753;
SIIM-SANDER VENE;2.02;Forward;1990;Estonia
ERIKAS VENSKUS;2.05;Center;2000;Lithuania
MATEJ VENTA;1.88;Guard;1984;Slovenia
VLADIMIR VEREMEENKO;2.11;Center;1984;Russian Federation
MARKO VERGINELLA;2.03;;1978;Slovenia
DIMITRIOS VERGINIS;1.91;;1987;Greece
JAN VESELY;2.13;Center;1990;Czech Republic
MILIJAN VESKOVIC;1.96;Guard;1979;Serbia
ERKAN VEYSELOGLU;2.00;;1983;Turkey
SASHA VEZENKOV;2.06;Forward;1995;Greece
EGOR VIALTSEV;1.93;Forward;1985;Russian Federation
LUCAS VICTORIANO;1.90;Guard;1977;Spain
SERGI VIDAL;2.00;Guard;1981;Spain
CHRISTOS VIDALIS;1.86;Guard;1985;Greece
RAFAEL VIDAURRETA;2.04;Forward;1977;Spain
FILIP VIDENOV;1.96;Forward;1980;Bulgaria
GASPER VIDMAR;2.10;Center;1987;Slovenia
JEFF VIGGIANO;1.96;Forward;1984;Italy
IVAN VIKTOROV;1.97;Forward;1995;Russian Federation
LUCA VILDOZA;1.91;Guard;1995;Italy
FRANCESCO VILLA;1.82;;1997;Italy
RAFA VILLAR;1.88;Guard;2004;Spain
DREW VINEY;2.03;Forward;1988;United States of America
FRED VINSON;1.93;Guard;1971;United States of America
ZORAN VISKOVIC;2.12;Center;1975;Croatia
LUCA VITALI;2.01;Guard;1986;Italy
CEDOMIR VITKOVAC;2.01;Forward;1982;Serbia
GUILLEM VIVES;1.92;Guard;1993;Spain
JAKOV VLADOVIC;1.84;Guard;1983;Croatia
JOHANNES VOIGTMANN;2.11;Forward;1992;Germany
IGOR VOLKHIN;1.99;Forward;1997;Russian Federation
EVGENY VORONOV;1.94;Guard;1986;Russian Federation
ANDREY VORONTSEVICH;2.07;Forward;1987;Russian Federation
IAN VOUGIOUKAS;2.11;Center;1985;Greece
KARLO VRAGOVIC;1.92;Guard;1989;Croatia
SLAVKO VRANES;2.29;Center;1983;Serbia
JOSIP VRANKOVIC;1.98;Guard;1968;Croatia
STOJAN VRANKOVIC;2.18;Center;1964;Croatia
GORAN VRBANC;1.94;Guard;1984;Croatia
ZORAN VRKIC;2.01;Guard;1987;Croatia
JACKSON VROMAN;2.08;Forward;1981;United States of America
MARIN VRSALJKO;2.01;Forward;1983;Croatia
IVAN VUCIC;1.96;Forward;1996;Croatia
SASHA VUJACIC;2.00;Guard;1984;Slovenia
MILOS VUJANIC;1.90;Guard;1980;Serbia
NIKOLA VUJCIC;2.11;Center;1978;Croatia
IVAN VUJIC;2.07;Center;1977;Croatia
DRAGAN VUKCEVIC;2.01;Forward;1971;Serbia
DUSAN VUKCEVIC;1.98;Forward;1975;Greece
TRISTAN VUKCEVIC;2.09;Center;2003;Sweden
VEDRAN VUKUSIC;2.03;Forward;1982;Croatia
ADAM WACZYNSKI;1.99;Forward;1989;Poland
ADAMA WADIOU;;;1987;France
VON WAFER;1.96;Guard;1985;United States of America
DAJUAN WAGNER;1.85;Guard;1983;United States of America
MORITZ WAGNER;2.04;Forward;1997;Germany
COREY WALDEN;1.88;Guard;1992;United States of America
ERVING WALKER;1.72;Guard;1990;United States of America
HENRY WALKER;1.98;Guard;1987;United States of America
THOMAS WALKUP;1.93;Guard;1992;United States of America
C.J. WALLACE;2.06;Forward;1982;United States of America
JONATHAN WALLACE;1.85;Guard;1986;United States of America
MATT WALSH;1.99;Guard;1982;United States of America
DERRICK WALTON JR;1.85;Guard;1995;United States of America
BRAD WANAMAKER;1.93;Guard;1989;United States of America
JERROD WARD;2.05;Forward;1976;United States of America
CHRIS WARREN;1.96;Forward;1981;United States of America
KENDRICK WARREN;2.03;Forward;1971;United States of America
HAKIM WARRICK;2.06;Center;1982;United States of America
DARIUS WASHINGTON;1.88;Guard;1985;United States of America
DOMINIC WATERS;1.85;Guard;1986;United States of America
TRAVIS WATSON;2.03;Forward;1981;United States of America
BRIANTE WEBER;1.88;Guard;1992;United States of America
MAX WEBER;2.01;;1985;Germany
KYLE WEEMS;1.98;Forward;1989;United States of America
SONNY WEEMS;1.98;Forward;1986;United States of America
NELSON WEIDEMANN;1.90;Guard;1999;Germany
NICK WEILER-BABB;1.96;Guard;1995;United States of America
FREDERIC WEIS;2.18;Center;1977;France
JIRI WELSCH;2.02;Guard;1980;Czech Republic
K'ZELL WESSON;2.02;Forward;1977;United States of America
LEO WESTERMANN;1.98;Guard;1992;France
TYSON WHEELER;1.78;Guard;1975;United States of America
AARON WHITE;2.06;Forward;1992;United States of America
DJ WHITE;2.06;Forward;1986;United States of America
JAMES WHITE;2.01;Forward;1982;United States of America
JOHN WHITE;2.01;Forward;1966;United States of America
RODNEY WHITE;2.06;Forward;1980;United States of America
TOM WIDEMAN;2.08;Center;1976;United States of America
PAWEL WIEKIERA;2.05;;1978;Poland
SCOTTIE WILBEKIN;1.88;Guard;1993;United States of America
JACOB WILEY;2.02;Forward;1994;United States of America
JOHN-WALTER WILKINS;2.01;Forward;1987;France
MIKE WILKINSON;2.04;Forward;1981;United States of America
MIKE WILKS;1.79;Guard;1979;United States of America
DANIEL WILKUSZ;2.03;Guard;1988;Poland
CHRIS WILLIAMS;2.01;Forward;1980;United States of America
DERRICK WILLIAMS;2.03;Forward;1991;United States of America
DEVIN WILLIAMS;2.06;Center;1994;United States of America
ELLIOT WILLIAMS;1.96;Guard;1989;United States of America
ERIC WILLIAMS;2.06;Center;1984;United States of America
HENRY WILLIAMS;1.90;Guard;1970;United States of America
JASON WILLIAMS;1.98;Forward;1983;United States of America
KENNY WILLIAMS;2.06;Forward;1969;United States of America
LANCE WILLIAMS;2.06;;1980;United States of America
LATAVIOUS WILLIAMS;2.03;Center;1989;United States of America
MARCUS WILLIAMS;1.91;Guard;1985;United States of America
REGGIE WILLIAMS;1.96;Guard;1986;United States of America
SHAMMOND WILLIAMS;1.86;Guard;1975;Georgia
SHELDEN WILLIAMS;2.06;Center;1983;United States of America
NIGEL WILLIAMS-GOSS;1.92;Guard;1994;United States of America
MARVIN WILLOUGHBY;2.02;;1978;Germany
YANNICK WILMS;;;1753;
LAMAYNE WILSON;2.03;Forward;1980;United States of America
RAPHAEL WILSON;1.96;Forward;1989;France
KYLE WILTJER;2.08;Forward;1992;Canada
KENNEDY WINSTON;1.98;Forward;1984;United States of America
ROBERT WINTERMANTEL;2.00;Forward;1970;Germany
ANDREW WISNIEWSKI;1.91;Guard;1981;United States of America
LUKASZ WISNIEWSKI;1.89;Guard;1984;Poland
ROBERT WITKA;2.06;Forward;1981;Poland
ALEXANDER WITTE;2.07;;1990;Germany
JONAS WOHLFARTH-BOTTERMANN;2.07;Center;1990;Germany
KEVIN WOHLRATH;1.95;Forward;1995;Germany
MATHIEU WOJCIECHOWSKI;2.03;Forward;1992;France
ADAM WOJCIK;2.09;Forward;1970;Poland
RUBEN WOLKOWYSKY;2.07;Center;1973;Poland
NATE WOLTERS;1.93;Guard;1991;United States of America
DASHAUN WOOD;1.85;Guard;1985;United States of America
STEVE WOODBERRY;1.92;;1971;United States of America
LOREN WOODS;2.18;Center;1978;United States of America
QYNTEL WOODS;2.03;Guard;1981;United States of America
BEN WOODSIDE;1.80;Guard;1985;United States of America
DUANE WOODWARD;1.90;Guard;1976;United States of America
HAYWOODE WORKMAN;1.90;Guard;1966;United States of America
BRACEY WRIGHT;1.91;Guard;1984;United States of America
BRENT WRIGHT;2.03;Forward;1978;United States of America
CHRIS WRIGHT;2.03;Forward;1988;United States of America
DORELL WRIGHT;1.98;Forward;1985;United States of America
JULIAN WRIGHT;2.03;Center;1987;United States of America
MICHAEL WRIGHT;2.03;Forward;1980;United States of America
RASHAD WRIGHT;1.88;Guard;1982;United States of America
ZACK WRIGHT;1.88;Guard;1985;Bosnia and Herzegovina
VASSILIS XANTHOPOULOS;1.86;Guard;1984;Greece
GUERSCHON YABUSELE;2.02;Forward;1995;France
BURAK YACAN YUKSEL;2.04;Forward;1992;Turkey
