ACTION|CONSOLE|COORD_X|COORD_Y|FASTBREAK|ID_ACTION|ID_PLAYER|MINUTE|NUM_ANOT|PLAYER|POINTS|POINTS_A|POINTS_B|POINTS_OFF_TURNOVER|SECOND_CHANCE|TEAM|UTC|ZONE|Game
Missed Layup|07:00|125|131||LAYUPATT|P001210   |23|322|HRYCANIUK, ADAM|0|49|51|||SOP       ||C|81
Missed Two Pointer|07:00|-156|181||2FGA|PJKM      |23|324|HANSEN, TRAVIS|0|49|51|||MAD       ||B|81
Two Pointer|06:00|-332|294||2FGM|PAAX      |24|327|REYES, FELIPE|2|49|53|||MAD       ||F|81
Free Throw In|06:00|-1|-1||FTM|PAAX      |24|336|REYES, FELIPE|1|49|54|||MAD       || |81
Dunk|06:00|-6|25||DUNK|P001210   |24|338|HRYCANIUK, ADAM|2|51|54|||SOP       ||A|81
Missed Three Pointer|06:00|-345|759||3FGA|P000541   |24|340|LOGAN, DAVID|0|51|54|||SOP       ||H|81
Free Throw In|05:00|-1|-1||FTM|PJKM      |25|345|HANSEN, TRAVIS|1|51|55|||MAD       || |81
Free Throw In|05:00|-1|-1||FTM|PJKM      |25|346|HANSEN, TRAVIS|1|51|56|||MAD       || |81
Layup Made|05:00|-150|75||LAYUPMD|P000541   |25|347|LOGAN, DAVID|2|53|56|||SOP       ||B|81
Missed Two Pointer|05:00|-326|269||2FGA|PBJR      |25|348|KAUKENAS, RIMANTAS|0|53|56|||MAD       ||D|81
Missed Three Pointer|04:00|-539|564||3FGA|PTGB      |26|356|LLULL, SERGIO|0|53|56|||MAD       ||H|81
Missed Three Pointer|04:00|683|0||3FGA|P001885   |26|358|SEWERYN, LUKASZ|0|53|56|||SOP       ||I|81
Free Throw In|04:00|-1|-1||FTM|PAHV      |26|370|GARBAJOSA, JORGE|1|53|57|||MAD       || |81
Free Throw In|04:00|-1|-1||FTM|PAHV      |26|371|GARBAJOSA, JORGE|1|53|58|||MAD       || |81
Missed Two Pointer|04:00|388|-50||2FGA|PTFV      |26|376|WOODS, QYNTEL|0|53|58|||SOP       ||E|81
Layup Made|04:00|-175|18||LAYUPMD|PBJR      |26|378|KAUKENAS, RIMANTAS|2|53|60|||MAD       ||B|81
Layup Made|03:00|-163|75||LAYUPMD|P000541   |27|384|LOGAN, DAVID|2|55|60|||SOP       ||B|81
Missed Three Pointer|02:00|696|25||3FGA|PTGB      |28|386|LLULL, SERGIO|0|55|60|||MAD       ||I|81
Layup Made|02:00|-87|62||LAYUPMD|P000747   |28|390|SOW, PAPE|2|57|60|||SOP       ||B|81
Missed Three Pointer|02:00|401|602||3FGA|PJNN      |28|392|VELICKOVIC, NOVICA|0|57|60|||MAD       ||I|81
Missed Three Pointer|01:00|-414|577||3FGA|PLGW      |29|395|BURRELL, RONNIE|0|57|60|||SOP       ||H|81
Layup Made|01:00|106|81||LAYUPMD|P000747   |29|397|SOW, PAPE|2|59|60|||SOP       ||C|81
Missed Two Pointer|01:00|414|250||2FGA|PBWK      |29|398|LAVRINOVIC, DARJUS|0|59|60|||MAD       ||G|81
Free Throw In|01:00|-1|-1||FTM|PJNN      |29|405|VELICKOVIC, NOVICA|1|59|61|||MAD       || |81
Layup Made|01:00|81|25||LAYUPMD|PTFV      |29|408|WOODS, QYNTEL|2|61|61|||SOP       ||C|81
Missed Layup|00:00|-56|163||LAYUPATT|P000747   |30|414|SOW, PAPE|0|61|61|||SOP       ||B|81
