Player;G;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Team;Season
Alen Omic;11;17.4;3.5;4.9;704;0.0;0.0;0;3.5;4.9;704;1.5;2.8;516;1.6;2.3;3.9;0.8;0.2;0.2;1.0;2.3;8.4;Crvena Zvezda mts Belgrade;18
Nikola Radicevic;9;12.3;0.9;4.2;211;0.2;1.3;167;0.7;2.9;231;1.8;2.4;727;0.1;1.0;1.1;1.9;0.6;0.0;1.0;2.4;3.8;Crvena Zvezda mts Belgrade;18
Marko Keselj;6;6.0;0.0;1.0;0;0.0;0.8;0;0.0;0.2;0;0.0;0.0;0;0.2;0.8;1.0;0.5;0.0;0.0;0.5;0.5;0.0;Crvena Zvezda mts Belgrade;18
Stefan Lazarevic;4;3.3;0.3;0.5;500;0.0;0.0;0;0.3;0.5;500;0.3;0.3;1000;0.3;0.3;0.5;0.0;0.3;0.0;0.3;0.8;0.8;Crvena Zvezda mts Belgrade;18
Dragan Apic;3;5.7;0.7;0.7;1000;0.0;0.0;0;0.7;0.7;1000;0.0;0.3;0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;1.3;1.3;Crvena Zvezda mts Belgrade;18
Augustine Rubit;30;21.7;3.5;6.7;527;0.2;0.6;368;3.3;6.1;544;2.8;3.6;794;2.2;2.5;4.7;0.9;0.7;0.3;1.2;2.8;10.1;Brose Bamberg;18
Maodo Lo;30;16.7;2.7;6.0;444;1.2;2.9;414;1.5;3.1;473;0.4;0.5;786;0.1;1.2;1.4;1.8;0.3;0.1;1.1;2.4;6.9;Brose Bamberg;18
Aleksej Nikolic;29;12.3;0.9;2.2;397;0.3;1.1;323;0.5;1.1;469;0.5;0.6;875;0.1;0.8;0.9;1.7;0.1;0.0;0.7;1.8;2.6;Brose Bamberg;18
Ricky Hickman;28;23.9;3.6;9.3;385;1.6;5.0;326;1.9;4.3;454;2.9;3.5;818;0.3;2.0;2.3;2.3;1.1;0.1;2.0;2.5;11.7;Brose Bamberg;18
Leon Radosevic;28;20.7;2.8;5.3;530;0.0;0.0;0;2.8;5.3;534;1.6;2.0;800;1.1;2.3;3.4;0.8;0.3;0.4;1.1;2.2;7.2;Brose Bamberg;18
Lucca Staiger;28;10.4;1.2;3.1;395;1.2;2.9;413;0.0;0.2;167;0.2;0.3;857;0.1;0.4;0.5;0.5;0.1;0.0;0.0;1.0;3.8;Brose Bamberg;18
